Component_ID,Lot_ID,Wafer_ID,Iddq_0h,Iddq_24h,Ileak_0h,Ileak_24h,PropDelay_0h,PropDelay_24h
CMP-1000-0001,ISRO-TEST-UPLOAD-1000,7,11.721,11.863,2.462,2.503,1.2599,1.2607
CMP-1000-0002,ISRO-TEST-UPLOAD-1000,20,12.771,13.0,2.006,2.071,1.3449,1.3459
CMP-1000-0003,ISRO-TEST-UPLOAD-1000,15,9.906,10.202,2.272,2.301,1.188,1.19
CMP-1000-0004,ISRO-TEST-UPLOAD-1000,11,12.095,12.183,2.018,2.057,1.2403,1.242
CMP-1000-0005,ISRO-TEST-UPLOAD-1000,8,10.61,11.003,2.232,2.202,1.1295,1.1314
CMP-1000-0006,ISRO-TEST-UPLOAD-1000,21,10.616,10.838,2.372,2.426,1.1423,1.1463
CMP-1000-0007,ISRO-TEST-UPLOAD-1000,7,10.549,10.931,2.726,2.783,1.2671,1.266
CMP-1000-0008,ISRO-TEST-UPLOAD-1000,19,11.942,12.341,2.458,2.452,1.1709,1.1802
CMP-1000-0009,ISRO-TEST-UPLOAD-1000,23,13.583,13.882,2.834,2.905,1.0279,1.0295
CMP-1000-0010,ISRO-TEST-UPLOAD-1000,11,7.892,8.212,2.34,2.401,1.33,1.339
CMP-1000-0011,ISRO-TEST-UPLOAD-1000,11,10.037,10.548,2.372,2.381,1.2369,1.2462
CMP-1000-0012,ISRO-TEST-UPLOAD-1000,24,11.562,11.779,2.618,2.638,1.1535,1.1553
CMP-1000-0013,ISRO-TEST-UPLOAD-1000,21,11.687,11.912,2.848,2.856,1.163,1.1667
CMP-1000-0014,ISRO-TEST-UPLOAD-1000,4,9.575,9.724,2.63,2.624,1.1086,1.1064
CMP-1000-0015,ISRO-TEST-UPLOAD-1000,8,11.208,11.331,2.094,2.159,1.2534,1.26
CMP-1000-0016,ISRO-TEST-UPLOAD-1000,24,12.09,12.454,2.107,2.178,1.0695,1.0719
CMP-1000-0017,ISRO-TEST-UPLOAD-1000,3,12.009,12.018,2.761,2.736,1.1803,1.1825
CMP-1000-0018,ISRO-TEST-UPLOAD-1000,22,10.356,10.487,2.657,2.663,1.0755,1.0808
CMP-1000-0019,ISRO-TEST-UPLOAD-1000,21,10.79,11.086,2.381,2.394,1.234,1.2295
CMP-1000-0020,ISRO-TEST-UPLOAD-1000,2,9.494,9.695,2.744,2.702,1.2359,1.2408
CMP-1000-0021,ISRO-TEST-UPLOAD-1000,24,10.427,10.569,2.63,2.642,1.2462,1.2397
CMP-1000-0022,ISRO-TEST-UPLOAD-1000,12,9.721,9.555,2.605,2.661,1.2761,1.2838
CMP-1000-0023,ISRO-TEST-UPLOAD-1000,6,9.681,9.936,2.32,2.332,1.3312,1.328
CMP-1000-0024,ISRO-TEST-UPLOAD-1000,2,9.294,9.516,2.277,2.298,1.1526,1.1607
CMP-1000-0025,ISRO-TEST-UPLOAD-1000,21,10.603,10.804,2.151,2.199,1.1814,1.1803
CMP-1000-0026,ISRO-TEST-UPLOAD-1000,1,9.422,14.795,2.271,2.671,1.1992,1.2792
CMP-1000-0027,ISRO-TEST-UPLOAD-1000,12,11.087,11.534,2.862,2.905,1.1754,1.1733
CMP-1000-0028,ISRO-TEST-UPLOAD-1000,22,10.056,10.256,1.851,1.909,1.2293,1.2312
CMP-1000-0029,ISRO-TEST-UPLOAD-1000,12,9.754,9.824,1.818,1.881,1.1139,1.1188
CMP-1000-0030,ISRO-TEST-UPLOAD-1000,25,11.22,11.437,2.672,2.731,1.1753,1.1789
CMP-1000-0031,ISRO-TEST-UPLOAD-1000,17,10.588,10.842,2.266,2.299,1.0267,1.0339
CMP-1000-0032,ISRO-TEST-UPLOAD-1000,10,12.842,13.163,2.707,2.715,1.2298,1.2327
CMP-1000-0033,ISRO-TEST-UPLOAD-1000,16,9.484,9.605,2.488,2.527,1.1221,1.1286
CMP-1000-0034,ISRO-TEST-UPLOAD-1000,15,11.406,11.631,2.731,2.798,1.1716,1.1789
CMP-1000-0035,ISRO-TEST-UPLOAD-1000,15,12.553,12.892,3.288,3.34,1.2185,1.2031
CMP-1000-0036,ISRO-TEST-UPLOAD-1000,19,12.282,12.521,2.686,2.749,1.1633,1.1652
CMP-1000-0037,ISRO-TEST-UPLOAD-1000,12,10.331,10.558,2.533,2.599,1.401,1.409
CMP-1000-0038,ISRO-TEST-UPLOAD-1000,23,10.185,10.475,2.735,2.742,1.1534,1.1662
CMP-1000-0039,ISRO-TEST-UPLOAD-1000,20,11.334,11.759,2.087,2.108,1.2574,1.2477
CMP-1000-0040,ISRO-TEST-UPLOAD-1000,25,11.422,11.768,2.6,2.619,1.1611,1.1616
CMP-1000-0041,ISRO-TEST-UPLOAD-1000,3,11.125,11.369,2.292,2.331,1.1947,1.1937
CMP-1000-0042,ISRO-TEST-UPLOAD-1000,5,13.027,19.537,2.282,2.682,1.1879,1.2679
CMP-1000-0043,ISRO-TEST-UPLOAD-1000,19,11.547,11.699,2.876,2.872,1.2327,1.2422
CMP-1000-0044,ISRO-TEST-UPLOAD-1000,7,10.762,10.869,2.511,2.504,1.1606,1.1678
