Component_ID,Lot_ID,Wafer_ID,Stress_Temp_C,Defect_Type,Ground_Truth_Failure,Iddq_0h,Iddq_24h,Iddq_96h,Iddq_168h,Ileak_0h,Ileak_24h,Ileak_96h,Ileak_168h,PropDelay_0h,PropDelay_24h,PropDelay_96h,PropDelay_168h
CMP-883-0001,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,10.98,11.451,11.78,11.982,2.562,2.512,2.631,2.684,1.1233,1.1262,1.1266,1.1511
CMP-883-0002,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,9.737,10.022,10.316,10.509,2.461,2.512,2.542,2.691,1.1681,1.1681,1.1801,1.2119
CMP-883-0003,ISRO-FLIGHT-QUAL-LOT-883,25,125.0,HEALTHY,0,10.406,10.848,10.595,10.986,2.638,2.693,2.677,2.673,1.2055,1.1932,1.2324,1.2194
CMP-883-0004,ISRO-FLIGHT-QUAL-LOT-883,14,125.0,HEALTHY,0,9.755,10.226,10.374,10.673,2.723,2.754,2.765,2.821,1.1913,1.19,1.2011,1.2165
CMP-883-0005,ISRO-FLIGHT-QUAL-LOT-883,14,125.0,HEALTHY,0,12.422,12.613,12.752,12.865,2.96,3.005,3.027,3.046,1.264,1.2656,1.2787,1.2901
CMP-883-0006,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,10.27,10.514,11.119,11.361,1.917,1.953,2.021,1.978,1.1613,1.1695,1.1734,1.1994
CMP-883-0007,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,9.585,9.834,10.482,10.393,2.005,2.052,2.071,2.092,1.2037,1.2096,1.2214,1.2229
CMP-883-0008,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,12.211,12.601,13.034,13.178,2.419,2.442,2.431,2.513,1.2484,1.2389,1.2607,1.2562
CMP-883-0009,ISRO-FLIGHT-QUAL-LOT-883,13,125.0,HEALTHY,0,10.368,10.5,10.398,10.622,2.148,2.195,2.141,2.273,1.1619,1.1659,1.1823,1.2032
CMP-883-0010,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,9.888,10.21,10.474,10.652,2.676,2.704,2.788,2.714,1.1731,1.1766,1.1841,1.2016
CMP-883-0011,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,11.547,11.95,11.967,12.01,3.032,3.095,3.107,2.995,1.3271,1.3335,1.3427,1.3547
CMP-883-0012,ISRO-FLIGHT-QUAL-LOT-883,14,125.0,LATENT_DRIFT,1,12.261,19.655,52.501,100.437,2.718,3.118,5.218,11.718,1.3531,1.4331,1.6831,2.2331
CMP-883-0013,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,11.088,11.201,11.341,11.564,2.864,2.905,2.938,3.04,1.243,1.2325,1.2482,1.2705
CMP-883-0014,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,12.181,12.494,12.736,13.268,2.203,2.193,2.33,2.295,1.2411,1.2435,1.2599,1.2836
CMP-883-0015,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,10.432,10.837,10.984,11.139,3.206,3.251,3.344,3.298,1.2238,1.2189,1.2299,1.2637
CMP-883-0016,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,9.47,9.39,9.897,9.894,2.34,2.367,2.389,2.469,1.0434,1.0493,1.0536,1.0711
CMP-883-0017,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,11.122,11.439,11.927,11.659,2.503,2.515,2.544,2.603,1.2199,1.2287,1.2327,1.2463
CMP-883-0018,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,10.54,10.648,10.975,10.56,2.542,2.584,2.633,2.709,1.1718,1.1721,1.195,1.2001
CMP-883-0019,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,11.876,12.062,12.214,12.412,2.115,2.17,2.205,2.223,1.1383,1.1407,1.1578,1.1607
CMP-883-0020,ISRO-FLIGHT-QUAL-LOT-883,17,125.0,HEALTHY,0,11.838,12.401,12.642,12.701,2.02,2.04,2.127,2.258,0.953,0.9572,0.9569,0.9676
CMP-883-0021,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,9.832,10.122,10.446,10.289,1.853,1.901,1.907,1.95,1.2353,1.2372,1.2571,1.2702
CMP-883-0022,ISRO-FLIGHT-QUAL-LOT-883,5,125.0,HEALTHY,0,11.372,11.651,11.95,12.541,2.078,2.113,2.107,2.275,1.1149,1.1222,1.1209,1.1572
CMP-883-0023,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,11.073,11.106,11.575,11.883,2.254,2.339,2.361,2.465,1.2792,1.2716,1.2972,1.3134
CMP-883-0024,ISRO-FLIGHT-QUAL-LOT-883,17,125.0,HEALTHY,0,10.147,10.561,10.838,11.228,2.684,2.7,2.782,2.803,1.298,1.2958,1.3092,1.3336
CMP-883-0025,ISRO-FLIGHT-QUAL-LOT-883,18,125.0,HEALTHY,0,9.046,9.296,9.425,10.052,2.665,2.705,2.802,2.747,1.2412,1.2436,1.2454,1.2514
CMP-883-0026,ISRO-FLIGHT-QUAL-LOT-883,10,125.0,HEALTHY,0,11.699,12.121,12.437,12.489,2.083,2.071,2.129,2.123,1.2473,1.2513,1.2627,1.2861
CMP-883-0027,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,10.609,10.606,10.909,10.874,2.682,2.704,2.797,2.74,1.1759,1.1729,1.1997,1.1989
CMP-883-0028,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,10.99,11.363,11.746,12.128,2.539,2.588,2.653,2.635,1.1156,1.1177,1.1162,1.1523
CMP-883-0029,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,9.273,9.937,10.061,10.309,2.577,2.613,2.7,2.662,1.1705,1.1665,1.1857,1.2067
CMP-883-0030,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,LATENT_DRIFT,1,12.674,20.415,53.376,102.03,2.738,3.138,5.238,11.738,1.1473,1.2273,1.4773,2.0273
CMP-883-0031,ISRO-FLIGHT-QUAL-LOT-883,10,125.0,HEALTHY,0,12.086,12.432,12.921,13.113,2.32,2.311,2.392,2.415,1.0122,1.0087,1.0168,1.0434
CMP-883-0032,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,9.245,9.422,9.856,10.008,2.639,2.714,2.712,2.711,1.2054,1.206,1.2163,1.2428
CMP-883-0033,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,12.119,12.248,12.478,12.648,2.862,2.922,2.943,2.946,1.3343,1.3367,1.3417,1.3623
CMP-883-0034,ISRO-FLIGHT-QUAL-LOT-883,9,125.0,HEALTHY,0,9.111,9.364,9.705,10.293,2.609,2.586,2.753,2.635,1.2148,1.214,1.2174,1.2425
CMP-883-0035,ISRO-FLIGHT-QUAL-LOT-883,22,125.0,HEALTHY,0,10.583,10.798,10.838,11.205,2.44,2.411,2.432,2.52,1.0992,1.0998,1.1038,1.1323
CMP-883-0036,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,9.7,9.895,10.264,9.98,2.485,2.581,2.483,2.613,1.2696,1.2694,1.257,1.2893
CMP-883-0037,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,12.364,12.793,13.244,13.509,2.657,2.734,2.742,2.729,1.1681,1.1751,1.1691,1.2254
CMP-883-0038,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,11.262,11.578,11.669,11.809,1.785,1.828,1.89,1.887,1.0471,1.048,1.0626,1.0822
CMP-883-0039,ISRO-FLIGHT-QUAL-LOT-883,5,125.0,HEALTHY,0,9.629,9.92,10.648,10.488,2.135,2.198,2.158,2.242,1.2191,1.2293,1.217,1.2499
CMP-883-0040,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,11.148,11.294,11.336,11.447,2.344,2.349,2.41,2.47,1.3137,1.3177,1.325,1.3314
CMP-883-0041,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,10.871,11.095,11.65,11.603,2.934,2.961,2.997,3.048,1.2541,1.2507,1.2595,1.2816
CMP-883-0042,ISRO-FLIGHT-QUAL-LOT-883,10,125.0,HEALTHY,0,9.498,9.724,10.209,10.389,2.472,2.511,2.528,2.616,1.194,1.1916,1.1998,1.2224
CMP-883-0043,ISRO-FLIGHT-QUAL-LOT-883,25,125.0,HEALTHY,0,10.342,10.504,10.703,10.638,2.669,2.75,2.778,2.819,1.3501,1.3521,1.3513,1.3976
CMP-883-0044,ISRO-FLIGHT-QUAL-LOT-883,18,125.0,HEALTHY,0,10.682,10.869,11.367,11.16,2.148,2.221,2.232,2.275,1.3741,1.3742,1.3768,1.4013
CMP-883-0045,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,10.564,10.734,11.184,11.461,2.842,2.854,2.895,2.931,1.3841,1.3888,1.3876,1.4149
CMP-883-0046,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,10.361,10.737,10.692,11.294,2.536,2.634,2.618,2.619,1.2101,1.2174,1.2381,1.254
