Component_ID,Lot_ID,Wafer_ID,Stress_Temp_C,Defect_Type,Ground_Truth_Failure,Iddq_0h,Iddq_24h,Iddq_96h,Iddq_168h,Ileak_0h,Ileak_24h,Ileak_96h,Ileak_168h,PropDelay_0h,PropDelay_24h,PropDelay_96h,PropDelay_168h
CMP-2026-0001,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,10.118,10.35,11.013,10.616,2.442,2.446,2.559,2.545,1.1892,1.1847,1.1978,1.2417
CMP-2026-0002,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,9.92,10.341,10.629,10.867,2.223,2.269,2.336,2.304,1.1554,1.154,1.1638,1.192
CMP-2026-0003,ISRO-TRAIN-LOT-2026,7,125.0,HEALTHY,0,9.826,10.132,10.397,10.496,2.575,2.621,2.672,2.669,1.3043,1.3136,1.3152,1.3352
CMP-2026-0004,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,12.75,12.961,13.507,13.116,2.885,2.902,2.933,3.044,1.4383,1.4434,1.4547,1.4589
CMP-2026-0005,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,10.085,10.436,11.054,10.775,3.017,3.139,3.057,3.199,1.0613,1.0582,1.0713,1.0916
CMP-2026-0006,ISRO-TRAIN-LOT-2026,16,125.0,LATENT_DRIFT,1,11.635,18.636,50.268,100.079,2.408,2.808,4.908,11.408,1.29,1.37,1.62,2.17
CMP-2026-0007,ISRO-TRAIN-LOT-2026,10,125.0,LATENT_PAT_OUTLIER,1,39.987,41.59,44.593,47.163,6.524,7.324,8.524,10.324,1.5918,1.6418,1.7218,1.8418
CMP-2026-0008,ISRO-TRAIN-LOT-2026,14,125.0,HEALTHY,0,10.628,11.088,11.224,11.69,2.215,2.242,2.308,2.305,1.2625,1.2615,1.2714,1.2755
CMP-2026-0009,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,9.549,9.816,10.108,10.053,2.431,2.424,2.491,2.598,1.0841,1.0924,1.0948,1.127
CMP-2026-0010,ISRO-TRAIN-LOT-2026,5,125.0,HEALTHY,0,7.717,7.869,8.106,8.562,2.325,2.35,2.373,2.412,1.1783,1.1723,1.1774,1.198
